draw,status,binding_bounds,urea_export
431,OPTIMAL,v2:upper,37.722225441743795
432,OPTIMAL,v2:upper,72.58179987787864
433,OPTIMAL,v2:upper,112.39031677936023
434,OPTIMAL,v2:upper,227.3285094741344
435,OPTIMAL,v2:upper,116.68234365748532
436,OPTIMAL,v2:upper,66.95195788277677
437,OPTIMAL,v2:upper,179.48066585434387
438,OPTIMAL,v2:upper,676.4313960715085
439,OPTIMAL,v2:upper,236.02752600779263
440,OPTIMAL,v2:upper,82.00900945471976
441,OPTIMAL,v1:upper,79.93842786982259
442,OPTIMAL,v2:upper,103.89067540253802
443,OPTIMAL,v2:upper,74.74645781054427
444,OPTIMAL,v2:upper,85.75758344771758
445,OPTIMAL,v2:upper,96.40971505751608
446,OPTIMAL,v2:upper,140.71978759961226
447,OPTIMAL,v2:upper,171.5875629473288
448,OPTIMAL,v2:upper,243.7924135064582
449,OPTIMAL,v2:upper,155.60684615478888
450,OPTIMAL,v2:upper,48.965213488141224
451,OPTIMAL,v1:upper,111.23498214806516
452,OPTIMAL,v2:upper,146.35260288524478
453,OPTIMAL,v2:upper,61.62291498508693
454,OPTIMAL,v2:upper,16.92563583141864
455,OPTIMAL,v2:upper,469.99447359345015
456,OPTIMAL,v2:upper,353.6111930629155
457,OPTIMAL,v2:upper,90.82754964377298
458,OPTIMAL,v2:upper,28.0898645276142
459,OPTIMAL,v2:upper,79.28303618352449
460,OPTIMAL,v2:upper,77.17871567090381
461,OPTIMAL,v2:upper,35.24540152436754
462,OPTIMAL,v2:upper,102.21867767742756
463,OPTIMAL,v2:upper,282.6812468090877
464,OPTIMAL,v2:upper,84.83975017886611
465,OPTIMAL,v2:upper,129.76596017669024
466,OPTIMAL,v2:upper,49.656681350700325
467,OPTIMAL,v2:upper,54.764077262118256
468,OPTIMAL,v2:upper,408.5505358507694
469,OPTIMAL,v2:upper,392.43422875081103
470,OPTIMAL,v2:upper,37.245652091103366
471,OPTIMAL,v1:upper,456.58562579817965
472,OPTIMAL,v2:upper,59.70293091427841
473,OPTIMAL,v1:upper,233.11968617767636
474,OPTIMAL,v2:upper,375.4627093151461
475,OPTIMAL,v2:upper,45.54847147202807
476,OPTIMAL,v2:upper,50.60458584176328
477,OPTIMAL,v2:upper,46.44542642104682
478,OPTIMAL,v2:upper,71.5172278993821
479,OPTIMAL,v1:upper,67.99243719257741
480,OPTIMAL,v2:upper,202.02020604801513
481,OPTIMAL,v2:upper,90.45350200017107
482,OPTIMAL,v2:upper,68.92538870504949
483,OPTIMAL,v2:upper,666.0064607986302
484,OPTIMAL,v2:upper,17.120673071389714
485,OPTIMAL,v2:upper,37.566999004196234
486,OPTIMAL,v2:upper,102.09591225050491
487,OPTIMAL,v2:upper,115.34238134010593
488,OPTIMAL,v2:upper,83.61043972164842
489,OPTIMAL,v2:upper,76.30054394555496
490,OPTIMAL,v2:upper,365.91629867330977
491,OPTIMAL,v1:upper,42.90505366326565
492,OPTIMAL,v2:upper,50.19681833607486
493,OPTIMAL,b1:lower;b2:lower;b3:upper;b4:upper;b5:lower;b6:upper;b7:upper;b8:upper;b14:lower,1000.0
494,OPTIMAL,v2:upper,108.32681222134498
495,OPTIMAL,v2:upper,140.28551105259876
496,OPTIMAL,v2:upper,42.757751312273726
497,OPTIMAL,v2:upper,410.57907986429063
498,OPTIMAL,v2:upper,24.44772613396119
499,OPTIMAL,v2:upper,35.582845514795075
500,OPTIMAL,v1:upper,202.23330417779795
501,OPTIMAL,v1:upper,294.99270629433425
502,OPTIMAL,v2:upper,411.31403651499846
503,OPTIMAL,v2:upper,22.193511534860527
504,OPTIMAL,v2:upper,219.52018598353013
505,OPTIMAL,v2:upper,94.77578325113565
506,OPTIMAL,v2:upper,513.2232326363336
507,OPTIMAL,v2:upper,67.48727179240981
508,OPTIMAL,v2:upper,106.1697626605783
509,OPTIMAL,v2:upper,41.81782903028623
510,OPTIMAL,v2:upper,142.25954179286745
511,OPTIMAL,v2:upper,67.13892700820891
512,OPTIMAL,v2:upper,56.50150998647401
513,OPTIMAL,v2:upper,14.039598767555162
514,OPTIMAL,v2:upper,393.8985704510049
515,OPTIMAL,v1:upper,44.62063556716205
516,OPTIMAL,v2:upper,62.817234897872325
517,OPTIMAL,v2:upper,10.507298844180147
518,OPTIMAL,v2:upper,89.9683359419417
519,OPTIMAL,v2:upper,138.10955836125635
520,OPTIMAL,v2:upper,136.2357100550448
521,OPTIMAL,v2:upper,68.0963444543291
522,OPTIMAL,v2:upper,53.01666385299619
523,OPTIMAL,v2:upper,39.30437666980496
524,OPTIMAL,v2:upper,74.42888569858081
525,OPTIMAL,v2:upper,23.559779181663
526,OPTIMAL,v2:upper,304.3363136247756
527,OPTIMAL,v1:upper,119.86124814207547
528,OPTIMAL,v2:upper,94.55723927619346
529,OPTIMAL,v2:upper,24.130876114748336
530,OPTIMAL,v2:upper,390.40364802468844
531,OPTIMAL,v2:upper,53.75524826819236
532,OPTIMAL,v2:upper,26.952261428633836
533,OPTIMAL,v2:upper,266.30719496151545
534,OPTIMAL,v2:upper,855.8971688031734
535,OPTIMAL,v2:upper,36.063230216583
536,OPTIMAL,v2:upper,607.0987382871012
537,OPTIMAL,v2:upper,52.82882691091323
538,OPTIMAL,v2:upper,138.28722480731264
539,OPTIMAL,b1:lower;b2:lower;b3:upper;b4:upper;b5:lower;b6:upper;b7:upper;b8:upper;b14:lower,1000.0
540,OPTIMAL,v2:upper,100.98085312103129
541,OPTIMAL,v2:upper,32.519182491118585
542,OPTIMAL,v2:upper,815.8372016594694
543,OPTIMAL,v2:upper,39.434830205078086
544,OPTIMAL,v1:upper,79.88890983188908
545,OPTIMAL,v2:upper,109.41757514679544
546,OPTIMAL,b1:lower;b2:lower;b3:upper;b4:upper;b5:lower;b6:upper;b7:upper;b8:upper;b14:lower,1000.0
547,OPTIMAL,v2:upper,19.003335781594256
548,OPTIMAL,v2:upper,161.9413795375037
549,OPTIMAL,v2:upper,119.36027830410313
550,OPTIMAL,v1:upper,64.25089981122804
551,OPTIMAL,v2:upper,38.14669465539632
552,OPTIMAL,v2:upper,73.00109528780764
553,OPTIMAL,v1:upper,91.60465045742963
554,OPTIMAL,v2:upper,131.64497129412996
555,OPTIMAL,v1:upper,206.78556085276065
556,OPTIMAL,v2:upper,334.00968392686883
557,OPTIMAL,v2:upper,650.5736266310092
558,OPTIMAL,v1:upper,72.30288652074084
559,OPTIMAL,v2:upper,27.627689832809043
560,OPTIMAL,v2:upper,184.93857601527353
561,OPTIMAL,v1:upper,103.76813228353843
562,OPTIMAL,v2:upper,345.64024522670354
563,OPTIMAL,v2:upper,39.57726701978742
564,OPTIMAL,v2:upper,19.856971745660193
565,OPTIMAL,v2:upper,129.4011498438562
566,OPTIMAL,v2:upper,58.14220094553623
567,OPTIMAL,v2:upper,83.54259559479749
